Scheme Code,Scheme Name,NAV,Date,Category
121931,Bandhan Banking and PSU Fund - Regular Fortnightly IDCW,10.6478,2026-02-24,Debt
121280,Bandhan Banking and PSU Fund - Regular Growth,25.4257,2026-02-24,Debt
121282,Bandhan Banking and PSU Fund - Regular IDCW,13.7297,2026-02-24,Debt
121932,Bandhan Banking and PSU Fund - Regular Monthly IDCW,10.7384,2026-02-24,Debt
121937,Bandhan Banking and PSU Fund - Regular Quarterly IDCW,10.9052,2026-02-24,Debt
150505,Canara Robeco Banking and PSU Debt Fund- Direct Plan- Growth Option,12.577,2026-02-24,Debt
150507,Canara Robeco Banking and PSU Debt Fund- Direct Plan- IDCW Payout,10.8086,2026-02-24,Debt
150503,Canara Robeco Banking and PSU Debt Fund- Regular Plan- Growth Option,12.444,2026-02-24,Debt
150504,Canara Robeco Banking and PSU Debt Fund- Regular Plan- IDCW (Payout/ Reinvestment),10.7062,2026-02-24,Debt
124175,DSP Banking & PSU Debt Fund - Direct Plan - Growth,25.6817,2026-02-24,Debt
124178,DSP Banking & PSU Debt Fund - Direct Plan - IDCW,10.8304,2026-02-24,Debt
124182,DSP Banking & PSU Debt Fund - Direct Plan - IDCW - Daily Reinvest,10.1889,2026-02-24,Debt
124176,DSP Banking & PSU Debt Fund - Direct Plan - IDCW - Monthly,10.4426,2026-02-24,Debt
124177,DSP Banking & PSU Debt Fund - Direct Plan - IDCW - Quarterly,10.4713,2026-02-24,Debt
124183,DSP Banking & PSU Debt Fund - Direct Plan - IDCW - Weekly,10.1923,2026-02-24,Debt
124172,DSP Banking & PSU Debt Fund - Regular Plan - Growth,24.7594,2026-02-24,Debt
124174,DSP Banking & PSU Debt Fund - Regular Plan - IDCW,10.8024,2026-02-24,Debt
124173,DSP Banking & PSU Debt Fund - Regular Plan - IDCW - Daily Reinvest,10.1888,2026-02-24,Debt
124180,DSP Banking & PSU Debt Fund - Regular Plan - IDCW - Monthly,10.4266,2026-02-24,Debt
124181,DSP Banking & PSU Debt Fund - Regular Plan - IDCW - Quarterly,10.4594,2026-02-24,Debt
124179,DSP Banking & PSU Debt Fund - Regular Plan - IDCW - Weekly,10.1921,2026-02-24,Debt
140286,Edelweiss Banking and PSU Debt Fund - Direct Plan - Growth Option,26.3866,2026-02-24,Debt
140288,Edelweiss Banking and PSU Debt Fund - Direct Plan - IDCW Option,18.5775,2026-02-24,Debt
140291,Edelweiss Banking and PSU Debt Fund - Direct Plan Fortnightly - IDCW Option,14.4524,2026-02-24,Debt
140293,Edelweiss Banking and PSU Debt Fund - Direct Plan Monthly - IDCW Option,10.9747,2026-02-24,Debt
140290,Edelweiss Banking and PSU Debt Fund - Direct Plan weekly - IDCW Option,10.5568,2026-02-24,Debt
140283,Edelweiss Banking and PSU Debt Fund - Regular Plan - Growth Option,25.4152,2026-02-24,Debt
140284,Edelweiss Banking and PSU Debt Fund - Regular Plan - IDCW Option,17.6745,2026-02-24,Debt
140294,Edelweiss Banking and PSU Debt Fund - Regular Plan Fortnightly - IDCW Option,13.9784,2026-02-24,Debt
140292,Edelweiss Banking and PSU Debt Fund - Regular Plan Monthly - IDCW Option,11.2179,2026-02-24,Debt
140289,Edelweiss Banking and PSU Debt Fund - Regular Plan Weekly - IDCW Option,10.151,2026-02-24,Debt
129008,Franklin India Banking & PSU Debt Fund - Direct - Growth,24.4533,2026-02-24,Debt
129006,Franklin India Banking & PSU Debt Fund - Growth,23.3592,2026-02-24,Debt
129009,Franklin India Banking and PSU Debt Fund - Direct - IDCW,11.5835,2026-02-24,Debt
129007,Franklin India Banking and PSU Debt Fund - IDCW,10.952,2026-02-24,Debt
128628,HDFC Banking and PSU Debt Fund - Growth Option,23.7753,2026-02-24,Debt
128629,HDFC Banking and PSU Debt Fund - Growth Option - Direct Plan,24.8173,2026-02-24,Debt
128627,HDFC Banking and PSU Debt Fund - IDCW Option,10.1409,2026-02-24,Debt
128626,HDFC Banking and PSU Debt Fund - IDCW Option - Direct Plan,10.0315,2026-02-24,Debt
151108,HSBC Banking and PSU Debt Fund - Direct Daily IDCW,11.1907,2026-02-24,Debt
151107,HSBC Banking and PSU Debt Fund - Direct Growth,26.4839,2026-02-24,Debt
151106,HSBC Banking and PSU Debt Fund - Direct Monthly IDCW,11.2754,2026-02-24,Debt
151109,HSBC Banking and PSU Debt Fund - Direct Weekly IDCW,10.348,2026-02-24,Debt
151102,HSBC Banking and PSU Debt Fund - Regular Daily IDCW,11.116,2026-02-24,Debt
151104,HSBC Banking and PSU Debt Fund - Regular Growth,25.0904,2026-02-24,Debt
151105,HSBC Banking and PSU Debt Fund - Regular Monthly IDCW,10.4997,2026-02-24,Debt
151103,HSBC Banking and PSU Debt Fund - Regular Weekly IDCW,10.3204,2026-02-24,Debt
112343,ICICI Prudential Banking and PSU Debt Fund -  Daily IDCW,10.0549,2026-02-24,Debt
112344,ICICI Prudential Banking and PSU Debt Fund -  Weekly IDCW,10.2427,2026-02-24,Debt
130897,ICICI Prudential Banking and PSU Debt Fund - Bonus,15.8889,2026-02-24,Debt
120257,ICICI Prudential Banking and PSU Debt Fund - Direct Plan -  Daily IDCW,10.2538,2026-02-24,Debt
120256,ICICI Prudential Banking and PSU Debt Fund - Direct Plan -  Growth,35.4384,2026-02-24,Debt
120258,ICICI Prudential Banking and PSU Debt Fund - Direct Plan -  Quarterly IDCW,13.0292,2026-02-24,Debt
120255,ICICI Prudential Banking and PSU Debt Fund - Direct Plan -  Weekly IDCW,10.3708,2026-02-24,Debt
130950,ICICI Prudential Banking and PSU Debt Fund - Direct Plan Bonus,13.8665,2026-02-24,Debt
131148,ICICI Prudential Banking and PSU Debt Fund - Direct Plan Half Yearly IDCW Option,13.1098,2026-02-24,Debt
112342,ICICI Prudential Banking and PSU Debt Fund - Growth,33.9221,2026-02-24,Debt
116174,ICICI Prudential Banking and PSU Debt Fund - Quarterly IDCW,11.0233,2026-02-24,Debt
131147,ICICI Prudential Banking and PSU Debt Fund Half Yearly IDCW Option,12.9261,2026-02-24,Debt
113247,ICICI Prudential Banking and PSU Debt Fund Retail Daily Dividend,10.0122,2026-02-24,Debt
113242,ICICI Prudential Banking and PSU Debt Fund Retail Growth,21.631,2026-02-24,Debt
113243,ICICI Prudential Banking and PSU Debt Fund Retail Weekly Dividend,10.3305,2026-02-24,Debt
120444,Invesco India Banking and PSU Fund - Direct Plan -  Growth Option,2511.7798,2026-02-24,Debt
120443,Invesco India Banking and PSU Fund - Direct Plan - Daily IDCW (Reinvestment),1064.493,2026-02-24,Debt
120445,Invesco India Banking and PSU Fund - Direct Plan - Monthly IDCW (Payout / Reinvestment),1017.1848,2026-02-24,Debt
118234,Invesco India Banking and PSU Fund - Regular Plan - Daily IDCW (Reinvestment),1051.3248,2026-02-24,Debt
118232,Invesco India Banking and PSU Fund - Regular Plan - Growth Option,2340.3138,2026-02-24,Debt
118233,Invesco India Banking and PSU Fund - Regular Plan - Monthly IDCW (Payout / Reinvestment),1067.8984,2026-02-24,Debt
148534,ITI Banking & PSU Debt Fund - Direct Plan - Growth Option,13.8419,2026-02-24,Debt
148536,ITI Banking & PSU Debt Fund - Direct Plan - IDCW Option,13.844,2026-02-24,Debt
148535,ITI Banking & PSU Debt Fund - Regular Plan - Growth Option,13.4408,2026-02-24,Debt
148533,ITI Banking & PSU Debt Fund - Regular Plan - IDCW Option,13.442,2026-02-24,Debt
123690,Kotak Banking and PSU Debt - Growth,67.8057,2026-02-24,Debt
123691,Kotak Banking and PSU Debt - Monthly Payout of Income Distribution cum capital withdrawal option,12.7391,2026-02-24,Debt
123689,Kotak Banking and PSU Debt Direct - Annual Dividend,17.1427,2026-02-24,Debt
123693,Kotak Banking and PSU Debt Direct - Growth,70.809,2026-02-24,Debt
123692,Kotak Banking and PSU Debt Direct - Monthly Payout of Income Distribution cum capital withdrawal option,10.2707,2026-02-24,Debt
120337,LIC MF Banking & PSU Fund-Direct Plan-Daily IDCW,14.3176,2026-02-24,Debt
120338,LIC MF Banking & PSU Fund-Direct Plan-Growth,38.8689,2026-02-24,Debt
120339,LIC MF Banking & PSU Fund-Direct Plan-Monthly IDCW,14.6385,2026-02-24,Debt
120336,LIC MF Banking & PSU Fund-Direct Plan-Weekly IDCW,10.0585,2026-02-24,Debt
105822,LIC MF Banking & PSU Fund-Regular Plan-Daily IDCW,11.5266,2026-02-24,Debt
105823,LIC MF Banking & PSU Fund-Regular Plan-Growth,35.9264,2026-02-24,Debt
105856,LIC MF Banking & PSU Fund-Regular Plan-Monthly IDCW,13.4459,2026-02-24,Debt
105857,LIC MF Banking & PSU Fund-Regular Plan-Weekly IDCW,10.3908,2026-02-24,Debt
148419,Mirae Asset Banking and PSU Fund - Direct Plan - Growth,13.6848,2026-02-24,Debt
148417,Mirae Asset Banking and PSU Fund - Direct Plan - IDCW,13.6787,2026-02-24,Debt
148416,Mirae Asset Banking and PSU Fund - Regular Plan - Growth,13.3462,2026-02-24,Debt
148418,Mirae Asset Banking and PSU Fund - Regular plan - IDCW,13.3473,2026-02-24,Debt
134555,NIPPON INDIA BANKING and PSU  FUND - Direct Plan - IDCW Option,22.2692,2026-02-24,Debt
134553,NIPPON INDIA BANKING and PSU  FUND - WEEKLY IDCW Option,10.3132,2026-02-24,Debt
134547,Nippon India Banking and PSU  Fund- Direct Plan-Growth Plan- Growth Option,22.2692,2026-02-24,Debt
134550,NIPPON INDIA BANKING and PSU FUND - Direct Plan - MONTHLY IDCW Option,10.7586,2026-02-24,Debt
134556,NIPPON INDIA BANKING and PSU FUND - Direct Plan - QUARTERLY IDCW Option,10.9172,2026-02-24,Debt
134554,NIPPON INDIA BANKING and PSU FUND - Direct Plan - WEEKLY IDCW Option,10.3129,2026-02-24,Debt
134548,NIPPON INDIA BANKING and PSU FUND - IDCW Option,21.4037,2026-02-24,Debt
134549,NIPPON INDIA BANKING and PSU FUND - MONTHLY IDCW Option,10.6899,2026-02-24,Debt
134551,NIPPON INDIA BANKING and PSU FUND - QUARTERLY IDCW Option,10.8491,2026-02-24,Debt
134552,Nippon India Banking and PSU Fund- Direct Plan-Growth Plan- Bonus Option,22.2688,2026-02-24,Debt
134546,Nippon India Banking and PSU Fund- Growth Plan- Bonus Option,12.3452,2026-02-24,Debt
134545,Nippon India Banking and PSU Fund- Growth Plan- Growth Option,21.4037,2026-02-24,Debt
125502,SBI Banking & PSU Fund - Direct Plan - Daily Income Distribution cum Capital Withdrawal Option (IDCW),1510.6623,2026-02-24,Debt
125503,SBI BANKING & PSU FUND - Direct Plan - Growth,3429.6416,2026-02-24,Debt
125505,SBI Banking & PSU Fund - Direct Plan - Monthly Income Distribution cum Capital Withdrawal Option (IDCW),1313.3288,2026-02-24,Debt
125504,SBI Banking & PSU Fund - Direct Plan - Weekly Income Distribution cum Capital Withdrawal Option (IDCW),1507.3072,2026-02-24,Debt
125498,SBI BANKING & PSU FUND - Regular Paln - Growth,3218.9567,2026-02-24,Debt
125499,SBI Banking & PSU Fund - Regular Plan - Daily Income Distribution cum Capital Withdrawal Option (IDCW),1468.5765,2026-02-24,Debt
125501,SBI Banking & PSU Fund - Regular Plan - Monthly Income Distribution cum Capital Withdrawal Option (IDCW),1226.2425,2026-02-24,Debt
125500,SBI Banking & PSU Fund - Regular Plan - Weekly Income Distribution cum Capital Withdrawal Option (IDCW),1468.2274,2026-02-24,Debt
134363,Sundaram Banking & PSU Fund (Formerly Known as Sundaram Banking & PSU Debt Fund) - Direct Growth,11.7065,2026-02-24,Debt
134370,Sundaram Banking & PSU Fund (Formerly Known as Sundaram Banking & PSU Debt Fund) - Direct Monthly Dividend,11.4008,2026-02-24,Debt
134369,Sundaram Banking & PSU Fund (Formerly Known as Sundaram Banking & PSU Debt Fund) - Direct Quarterly Dividend,10.6356,2026-02-24,Debt
134355,Sundaram Banking & PSU Fund (Formerly Known as Sundaram Banking & PSU Debt Fund) - Regular Annual Bonus,11.6319,2026-02-24,Debt
134358,Sundaram Banking & PSU Fund (Formerly Known as Sundaram Banking & PSU Debt Fund) - Regular Daily Dividend Reinvestment,11.6582,2026-02-24,Debt
134356,Sundaram Banking & PSU Fund (Formerly Known as Sundaram Banking & PSU Debt Fund) - Regular Growth,11.6493,2026-02-24,Debt
134359,Sundaram Banking & PSU Fund (Formerly Known as Sundaram Banking & PSU Debt Fund) - Regular Monthly Dividend,11.1411,2026-02-24,Debt
134361,Sundaram Banking & PSU Fund (Formerly Known as Sundaram Banking & PSU Debt Fund) - Regular Quarterly Bonus,11.1681,2026-02-24,Debt
134362,Sundaram Banking & PSU Fund (Formerly Known as Sundaram Banking & PSU Debt Fund) - Regular Quarterly Dividend,11.0236,2026-02-24,Debt
134360,Sundaram Banking & PSU Fund (Formerly Known as Sundaram Banking & PSU Debt Fund) - Regular Weekly Dividend,10.1418,2026-02-24,Debt
119629,Sundaram Banking & PSU Fund (Formerly Known as Sundaram Banking and PSU Debt Fund) Direct Plan - Bonus,21.8981,2026-02-24,Debt
119627,Sundaram Banking & PSU Fund (Formerly Known as Sundaram Banking and PSU Debt Fund) Direct Plan - Daily Reinvestment of Income Distribution cum Capital Withdrawal (IDCW),10.23,2026-02-24,Debt
119625,Sundaram Banking & PSU Fund (Formerly Known as Sundaram Banking and PSU Debt Fund) Direct Plan - Growth,45.219,2026-02-24,Debt
119626,Sundaram Banking & PSU Fund (Formerly Known as Sundaram Banking and PSU Debt Fund) Direct Plan - Income Distribution cum Capital Withdrawal (IDCW),11.2573,2026-02-24,Debt
118326,Sundaram Banking & PSU Fund (Formerly Known as Sundaram Banking and PSU Debt Fund) Regular Plan - Bonus,21.7644,2026-02-24,Debt
100782,Sundaram Banking & PSU Fund (Formerly Known as Sundaram Banking and PSU Debt Fund) Regular Plan - Daily Reinvestment of Income Distribution cum Capital Withdrawal (IDCW),10.355,2026-02-24,Debt
100784,Sundaram Banking & PSU Fund (Formerly Known as Sundaram Banking and PSU Debt Fund) Regular Plan - Growth,44.5428,2026-02-24,Debt
100793,Sundaram Banking & PSU Fund (Formerly Known as Sundaram Banking and PSU Debt Fund) Regular Plan - Income Distribution cum Capital Withdrawal (IDCW),11.2881,2026-02-24,Debt
100783,Sundaram Banking & PSU Fund (Formerly Known as Sundaram Banking and PSU Debt Fund) Regular Plan - Weekly Reinvestment of Income Distribution cum Capital Withdrawal (IDCW),12.1035,2026-02-24,Debt
100781,Sundaram Banking & PSU Fund (Formerly Known as Sundaram Banking and PSU Debt Fund) Retail Plan - Growth,35.6206,2026-02-24,Debt
100780,Sundaram Banking & PSU Fund (Formerly Known as Sundaram Banking and PSU Debt Fund) Retail Plan - Monthly Income Distribution cum Capital Withdrawal (IDCW),11.4908,2026-02-24,Debt
140135,UTI Banking & PSU Fund - Direct Plan - Annual IDCW,13.7032,2026-02-24,Debt
133972,UTI Banking & PSU Fund - Direct Plan - Flexi IDCW,19.9814,2026-02-24,Debt
126940,UTI Banking & PSU Fund - Direct Plan - Growth Option,23.1875,2026-02-24,Debt
141375,UTI Banking & PSU Fund - Direct Plan - Half-Yearly IDCW,15.3866,2026-02-24,Debt
134026,UTI Banking & PSU Fund - Direct Plan - Monthly IDCW,13.5872,2026-02-24,Debt
126942,UTI Banking & PSU Fund - Direct Plan - Quarterly IDCW,17.2581,2026-02-24,Debt
140116,UTI Banking & PSU Fund - Regular Plan - Annual IDCW,13.4299,2026-02-24,Debt
133971,UTI Banking & PSU Fund - Regular Plan - Flexi IDCW,15.2638,2026-02-24,Debt
139407,UTI Banking & PSU Fund - Regular Plan - Half-Yearly IDCW,15.1998,2026-02-24,Debt
136110,UTI Banking & PSU Fund - Regular Plan - Monthly IDCW,13.3343,2026-02-24,Debt
126941,UTI Banking & PSU Fund - Regular Plan - Quarterly IDCW,15.6197,2026-02-24,Debt
126939,UTI Banking & PSU Fund- Regular Plan - Growth Option,22.761,2026-02-24,Debt
119533,Aditya Birla Sun Life Corporate Bond Fund - Growth - Direct Plan,118.6591,2026-02-24,Debt
103178,Aditya Birla Sun Life Corporate Bond Fund - Growth - Regular Plan,116.5373,2026-02-24,Debt
124832,Aditya Birla Sun Life Corporate Bond Fund -DIRECT - IDCW,11.0506,2026-02-24,Debt
119532,Aditya Birla Sun Life Corporate Bond Fund -DIRECT - MONTHLY IDCW,12.7952,2026-02-24,Debt
124833,Aditya Birla Sun Life Corporate Bond Fund -REGULAR - IDCW,12.3964,2026-02-24,Debt
103183,Aditya Birla Sun Life Corporate Bond Fund -REGULAR - MONTHLY IDCW,12.5831,2026-02-24,Debt
141586,Axis Corporate Bond Fund - Direct Plan - Daily IDCW,10.2348,2026-02-24,Debt
141590,Axis Corporate Bond Fund - Direct Plan - Monthly IDCW,10.2636,2026-02-24,Debt
141591,Axis Corporate Bond Fund - Direct Plan - Regular IDCW,14.6584,2026-02-24,Debt
141587,Axis Corporate Bond Fund - Direct Plan - Weekly IDCW,10.3641,2026-02-24,Debt
141588,Axis Corporate Bond Fund - Direct Plan Growth,18.7891,2026-02-24,Debt
141589,Axis Corporate Bond Fund - Regular Plan - Daily IDCW,10.2347,2026-02-24,Debt
141594,Axis Corporate Bond Fund - Regular Plan - Monthly IDCW,10.251,2026-02-24,Debt
141595,Axis Corporate Bond Fund - Regular Plan - Regular IDCW,13.664,2026-02-24,Debt
141592,Axis Corporate Bond Fund - Regular Plan - Weekly IDCW,10.2461,2026-02-24,Debt
141593,Axis Corporate Bond Fund - Regular Plan Growth,17.6854,2026-02-24,Debt
139201,BANDHAN Corporate Bond Fund - Direct Annual IDCW,10.8704,2026-02-24,Debt
135916,BANDHAN Corporate Bond Fund - Direct Growth,20.4833,2026-02-24,Debt
139200,BANDHAN Corporate Bond Fund - Direct Half Yearly IDCW,11.7413,2026-02-24,Debt
139198,BANDHAN Corporate Bond Fund - Direct Monthly IDCW,10.4035,2026-02-24,Debt
135917,BANDHAN Corporate Bond Fund - Direct Periodic IDCW,13.5895,2026-02-24,Debt
139199,BANDHAN Corporate Bond Fund - Direct Quarterly IDCW,10.6806,2026-02-24,Debt
139204,BANDHAN Corporate Bond Fund - Regular Annual IDCW,10.8317,2026-02-24,Debt
135914,BANDHAN Corporate Bond Fund - Regular Growth,19.8506,2026-02-24,Debt
139203,BANDHAN Corporate Bond Fund - Regular Half Yearly IDCW,11.1061,2026-02-24,Debt
139202,BANDHAN Corporate Bond Fund - Regular Monthly IDCW,10.6535,2026-02-24,Debt
135915,BANDHAN Corporate Bond Fund - Regular Periodic IDCW,13.3819,2026-02-24,Debt
139205,BANDHAN Corporate Bond Fund - Regular Quarterly IDCW,10.7108,2026-02-24,Debt
150230,BARODA BNP PARIBAS Corporate Bond Fund - Defunct Plan - Annual-IDCW Option,11.8779,2026-02-24,Debt
150229,BARODA BNP PARIBAS Corporate Bond Fund - Defunct Plan - Growth Option,32.9973,2026-02-24,Debt
150231,BARODA BNP PARIBAS Corporate Bond Fund - Defunct Plan - Monthly-IDCW Option,10.3702,2026-02-24,Debt
150228,BARODA BNP PARIBAS Corporate Bond Fund - Defunct Plan - Quarterly-IDCW Option,10.4242,2026-02-24,Debt
150236,BARODA BNP PARIBAS Corporate Bond Fund - Direct Plan - Annual IDCW Option,12.1566,2026-02-24,Debt
150237,BARODA BNP PARIBAS Corporate Bond Fund - Direct Plan - Growth Option,30.3284,2026-02-24,Debt
150238,BARODA BNP PARIBAS Corporate Bond Fund - Direct Plan - Monthly IDCW Option,10.568,2026-02-24,Debt
150239,BARODA BNP PARIBAS Corporate Bond Fund - Direct Plan - Quarterly IDCW Option,10.6675,2026-02-24,Debt
150233,BARODA BNP PARIBAS CORPORATE BOND FUND - Regular Plan - ANNUAL IDCW OPTION,11.801,2026-02-24,Debt
150235,BARODA BNP PARIBAS CORPORATE BOND FUND - Regular Plan - GROWTH OPTION,28.5094,2026-02-24,Debt
150234,BARODA BNP PARIBAS CORPORATE BOND FUND - Regular Plan - MONTHLY IDCW OPTION,10.4135,2026-02-24,Debt
150232,BARODA BNP PARIBAS CORPORATE BOND FUND - Regular Plan - QUARTERLY IDCW OPTION,10.4361,2026-02-24,Debt
126685,CANARA ROBECO CORPORATE BOND FUND - DIRECT PLAN - GROWTH OPTION,24.0162,2026-02-24,Debt
126686,CANARA ROBECO CORPORATE BOND FUND - DIRECT PLAN - IDCW (Payout/Reinvestment),12.4654,2026-02-24,Debt
126687,CANARA ROBECO CORPORATE BOND FUND - REGULAR PLAN - GROWTH OPTION,22.3201,2026-02-24,Debt
126688,CANARA ROBECO CORPORATE BOND FUND - REGULAR PLAN - IDCW (Payout/Reinvestment),11.6014,2026-02-24,Debt
144646,DSP Corporate Bond Fund - Direct - Growth,16.8889,2026-02-24,Debt
144647,DSP Corporate Bond Fund - Direct - IDCW,11.943,2026-02-24,Debt
144651,DSP Corporate Bond Fund - Direct - IDCW - Monthly,10.6452,2026-02-24,Debt
144648,DSP Corporate Bond Fund - Direct - IDCW - Quarterly,11.4352,2026-02-24,Debt
144644,DSP Corporate Bond Fund - Regular - Growth,16.5723,2026-02-24,Debt
144650,DSP Corporate Bond Fund - Regular - IDCW,11.8929,2026-02-24,Debt
144645,DSP Corporate Bond Fund - Regular - IDCW - Monthly,10.6199,2026-02-24,Debt
144649,DSP Corporate Bond Fund - Regular - IDCW - Quarterly,10.7796,2026-02-24,Debt
119289,Franklin India Corporate Debt Fund - Direct - Bonus,0.0,2026-02-24,Debt
118569,Franklin India Corporate Debt Fund - Direct - GROWTH,112.5553,2026-02-24,Debt
100528,Franklin India Corporate Debt Fund - Growth,103.5725,2026-02-24,Debt
100532,Franklin India Corporate Debt Fund - Monthly Bonus,0.0,2026-02-24,Debt
100527,Franklin India Corporate Debt Fund - Plan A - Annual - IDCW,17.681,2026-02-24,Debt
118570,Franklin India Corporate Debt Fund - Plan A - Direct - Annual - IDCW,19.9229,2026-02-24,Debt
118573,Franklin India Corporate Debt Fund - Plan A - Direct - Half yearly - IDCW,15.1224,2026-02-24,Debt
118571,Franklin India Corporate Debt Fund - Plan A - Direct - Monthly - IDCW,17.0454,2026-02-24,Debt
118572,Franklin India Corporate Debt Fund - Plan A - Direct - Quarterly - IDCW,13.7791,2026-02-24,Debt
100531,Franklin India Corporate Debt Fund - Plan B - Half yearly - IDCW,12.8013,2026-02-24,Debt
100529,Franklin India Corporate Debt Fund - Plan B - Monthly - IDCW,15.2351,2026-02-24,Debt
100530,Franklin India Corporate Debt Fund - Plan B - Quarterly - IDCW,12.117,2026-02-24,Debt
113070,HDFC Corporate Bond Fund - Growth Option,33.5625,2026-02-24,Debt
118987,HDFC Corporate Bond Fund - Growth Option - Direct Plan,34.3524,2026-02-24,Debt
132848,HDFC Corporate Bond Fund - IDCW Option,20.3177,2026-02-24,Debt
132849,HDFC Corporate Bond Fund - IDCW Option - Direct Plan,21.0487,2026-02-24,Debt
113071,HDFC Corporate Bond Fund - Quarterly IDCW Option,10.565,2026-02-24,Debt
118986,HDFC Corporate Bond Fund - Quarterly IDCW Option - Direct Plan,10.4712,2026-02-24,Debt
151000,HSBC Corporate Bond Fund - Direct Annual IDCW,12.449,2026-02-24,Debt
150996,HSBC Corporate Bond Fund - Direct Growth,80.9304,2026-02-24,Debt
150998,HSBC Corporate Bond Fund - Direct Quarterly IDCW,11.4368,2026-02-24,Debt
150997,HSBC Corporate Bond Fund - Direct Semi Annual IDCW,20.344,2026-02-24,Debt
151001,HSBC Corporate Bond Fund - Regular Annual IDCW,12.1605,2026-02-24,Debt
150992,HSBC Corporate Bond Fund - Regular Growth,75.8452,2026-02-24,Debt
150993,HSBC Corporate Bond Fund - Regular Quarterly IDCW,11.0206,2026-02-24,Debt
150994,HSBC Corporate Bond Fund - Regular Semi Annual IDCW,16.9809,2026-02-24,Debt
150995,HSBC Corporate Bond Fund -Regular Plan - Bonus,28.8101,2026-02-24,Debt
130947,ICICI Prudential Corporate Bond Fund - Bonus,14.9782,2026-02-24,Debt
111988,ICICI Prudential Corporate Bond Fund - Daily IDCW,10.1065,2026-02-24,Debt
